City,City_ascii,State_id,State_name,County_name,Lat,Long,Population,Density,Timezone,Ranking,Id
Lorain,Lorain,OH,Ohio,Lorain,41.4409,-82.1840,180279,1041,America/New_York,2,1840000644
Murfreesboro,Murfreesboro,TN,Tennessee,Rutherford,35.8492,-86.4119,179951,919,America/Chicago,2,1840014495
High Point,High Point,NC,North Carolina,Guilford,35.9907,-79.9938,179913,777,America/New_York,2,1840014479
Newport News,Newport News,VA,Virginia,Newport News,37.1051,-76.5185,179225,1002,America/New_York,2,1840003862
Rancho Cucamonga,Rancho Cucamonga,CA,California,San Bernardino,34.1248,-117.5666,177603,1709,America/Los_Angeles,2,1840020411
Hemet,Hemet,CA,California,Riverside,33.7341,-116.9969,177253,1125,America/Los_Angeles,2,1840020550
Santa Cruz,Santa Cruz,CA,California,Santa Cruz,36.9789,-122.0346,176428,1957,America/Los_Angeles,2,1840021579
Danbury,Danbury,CT,Connecticut,Fairfield,41.4016,-73.4710,176030,779,America/New_York,2,1840004837
Peoria,Peoria,AZ,Arizona,Maricopa,33.7844,-112.2989,175961,386,America/Phoenix,2,1840020567
Oceanside,Oceanside,CA,California,San Diego,33.2247,-117.3083,175742,1644,America/Los_Angeles,2,1840020623
Elk Grove,Elk Grove,CA,California,Sacramento,38.4160,-121.3842,174775,1605,America/Los_Angeles,2,1840020245
Pembroke Pines,Pembroke Pines,FL,Florida,Broward,26.0128,-80.3382,173591,2051,America/New_York,2,1840015141
Vallejo,Vallejo,CA,California,Solano,38.1133,-122.2358,173256,1524,America/Los_Angeles,2,1840021499
Garden Grove,Garden Grove,CA,California,Orange,33.7787,-117.9601,171644,3690,America/Los_Angeles,2,1840020577
Enterprise,Enterprise,NV,Nevada,Clark,36.0164,-115.2208,171108,1292,America/Los_Angeles,2,1840033827
Medford,Medford,OR,Oregon,Jackson,42.3372,-122.8537,170876,1243,America/Los_Angeles,2,1840020076
Cary,Cary,NC,North Carolina,Wake,35.7820,-78.8191,170282,1119,America/New_York,2,1840016196
Marysville,Marysville,WA,Washington,Snohomish,48.0809,-122.1561,170009,1308,America/Los_Angeles,2,1840019789
Corona,Corona,CA,California,Riverside,33.8616,-117.5649,169868,1640,America/Los_Angeles,2,1840019305
Ocala,Ocala,FL,Florida,Marion,29.1780,-82.1511,169383,496,America/New_York,2,1840015067
Fredericksburg,Fredericksburg,VA,Virginia,Fredericksburg,38.2992,-77.4872,168909,1072,America/New_York,2,1840003845
Gainesville,Gainesville,GA,Georgia,Hall,34.2903,-83.8301,167371,506,America/New_York,2,1840013612
Manchester,Manchester,NH,New Hampshire,Hillsborough,42.9848,-71.4447,162877,1315,America/New_York,2,1840002983
Bayamón,Bayamon,PR,Puerto Rico,Bayamón,18.3793,-66.1635,161034,2304,America/Puerto_Rico,2,1630035622
Champaign,Champaign,IL,Illinois,Champaign,40.1144,-88.2735,159443,1503,America/Chicago,2,1840007239
Alexandria,Alexandria,VA,Virginia,Alexandria,38.8185,-77.0861,159428,4121,America/New_York,2,1840003837
Hayward,Hayward,CA,California,Alameda,37.6328,-122.0772,159203,1349,America/Los_Angeles,2,1840020293
Springfield,Springfield,IL,Illinois,Sangamon,39.7710,-89.6538,158509,723,America/Chicago,2,1840009517
Lakewood,Lakewood,CO,Colorado,Jefferson,39.6977,-105.1168,157935,1416,America/Denver,2,1840020198
Lafayette,Lafayette,IN,Indiana,Tippecanoe,40.3990,-86.8594,157820,942,America/Indiana/Indianapolis,2,1840008354
Frederick,Frederick,MD,Maryland,Frederick,39.4336,-77.4141,156787,1172,America/New_York,2,1840005710
Lake Charles,Lake Charles,LA,Louisiana,Calcasieu,30.2012,-93.2122,156181,674,America/Chicago,2,1840015039
Odessa,Odessa,TX,Texas,Ector,31.8831,-102.3406,155998,1052,America/Chicago,2,1840020794
Tuscaloosa,Tuscaloosa,AL,Alabama,Tuscaloosa,33.2348,-87.5267,155499,631,America/Chicago,2,1840005563
Warner Robins,Warner Robins,GA,Georgia,Houston,32.5970,-83.6529,155140,805,America/New_York,2,1840015800
Palmdale,Palmdale,CA,California,Los Angeles,34.5944,-118.1057,155079,564,America/Los_Angeles,2,1840020502
Hollywood,Hollywood,FL,Florida,Broward,26.0294,-80.1679,154817,2192,America/New_York,2,1840015144
Midland,Midland,TX,Texas,Midland,32.0249,-102.1137,154793,758,America/Chicago,2,1840020792
Leesburg,Leesburg,FL,Florida,Lake,28.7657,-81.8996,154574,249,America/New_York,2,1840015083
Port Arthur,Port Arthur,TX,Texas,Jefferson,29.8554,-93.9264,154468,272,America/Chicago,2,1840020919
Muskegon,Muskegon,MI,Michigan,Muskegon,43.2281,-86.2563,153565,998,America/Detroit,2,1840002870
Macon,Macon,GA,Georgia,Bibb,32.8065,-83.6974,153159,237,America/New_York,2,1840043455
Kansas City,Kansas City,KS,Kansas,Wyandotte,39.1234,-94.7443,152960,473,America/Chicago,2,1840001626
Sunnyvale,Sunnyvale,CA,California,Santa Clara,37.3836,-122.0256,152703,2676,America/Los_Angeles,2,1840021573
Pomona,Pomona,CA,California,Los Angeles,34.0585,-117.7626,151691,2548,America/Los_Angeles,2,1840020507
Escondido,Escondido,CA,California,San Diego,33.1347,-117.0722,151625,1568,America/Los_Angeles,2,1840020620
Pasadena,Pasadena,TX,Texas,Harris,29.6583,-95.1499,151227,1339,America/Chicago,2,1840020930
New Bedford,New Bedford,MA,Massachusetts,Bristol,41.6697,-70.9428,149910,1840,America/New_York,2,1840003219
Fairfield,Fairfield,CA,California,Solano,38.2592,-122.0324,148683,1097,America/Los_Angeles,2,1840020253
Naperville,Naperville,IL,Illinois,DuPage,41.7483,-88.1657,148449,1476,America/Chicago,2,1840008143
Bellevue,Bellevue,WA,Washington,King,47.5951,-122.1535,148164,1709,America/Los_Angeles,2,1840018417
Binghamton,Binghamton,NY,New York,Broome,42.1014,-75.9093,148145,1635,America/New_York,2,1840000460
Elkhart,Elkhart,IN,Indiana,Elkhart,41.6916,-85.9628,147567,734,America/Indiana/Indianapolis,2,1840008187
Topeka,Topeka,KS,Kansas,Shawnee,39.0346,-95.6955,147458,787,America/Chicago,2,1840001621
Joliet,Joliet,IL,Illinois,Will,41.5189,-88.1499,147344,886,America/Chicago,2,1840008192
Beaumont,Beaumont,TX,Texas,Jefferson,30.0849,-94.1451,146091,547,America/Chicago,2,1840019612
Paterson,Paterson,NJ,New Jersey,Passaic,40.9147,-74.1624,145233,6665,America/New_York,2,1840000838
Merced,Merced,CA,California,Merced,37.3057,-120.4778,145149,1390,America/Los_Angeles,2,1840020313
Pueblo,Pueblo,CO,Colorado,Pueblo,38.2705,-104.6112,143932,789,America/Denver,2,1840020255
Tyler,Tyler,TX,Texas,Smith,32.3184,-95.3062,143796,718,America/Chicago,2,1840022076
Torrance,Torrance,CA,California,Los Angeles,33.8346,-118.3417,143592,2701,America/Los_Angeles,2,1840021873
Yuma,Yuma,AZ,Arizona,Yuma,32.5992,-114.5488,142847,313,America/Phoenix,2,1840021998
Metairie,Metairie,LA,Louisiana,Jefferson,29.9977,-90.1780,142135,2359,America/Chicago,2,1840013994
Surprise,Surprise,AZ,Arizona,Maricopa,33.6800,-112.4524,141664,506,America/Phoenix,2,1840021941
Columbia,Columbia,MO,Missouri,Boone,38.9478,-92.3256,141645,725,America/Chicago,2,1840007391
Athens,Athens,GA,Georgia,Clarke,33.9508,-83.3689,141532,421,America/New_York,2,1840029463
Roseville,Roseville,CA,California,Placer,38.7703,-121.3196,141500,1239,America/Los_Angeles,2,1840020233
Thornton,Thornton,CO,Colorado,Adams,39.9197,-104.9438,141464,1521,America/Denver,2,1840021422
Miramar,Miramar,FL,Florida,Broward,25.9773,-80.3351,141191,1889,America/New_York,2,1840015137
Pasadena,Pasadena,CA,California,Los Angeles,34.1597,-118.1390,141029,2371,America/Los_Angeles,2,1840020505
Mesquite,Mesquite,TX,Texas,Dallas,32.7623,-96.5889,140937,1151,America/Chicago,2,1840020713
Olathe,Olathe,KS,Kansas,Johnson,38.8832,-94.8198,140545,880,America/Chicago,2,1840003833
Santa Maria,Santa Maria,CA,California,Santa Barbara,34.9334,-120.4432,140545,1815,America/Los_Angeles,2,1840021830
Houma,Houma,LA,Louisiana,Terrebonne,29.5799,-90.7058,140469,874,America/Chicago,2,1840015063
